food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,complete_meal,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,Health_Label_Diabetes,Health_Label_Obesity,Health_Label_HighBP,Health_Label_LowBP,complete_meal,Type
ASC067,Khoa and coconut pancake,asc_manual,1138.778442,271.9807129,27.32319069,6.979613304,15.29441357,16.4708004,1.651616216,6999.286133,2755.887939,3040.072754,21.34785652,157.2231293,151.283905,22.6088047,101.0040588,205.4332428,1.11850667,0.09621223062,10.61369991,0.02369992994,0.2520098388,0.0133520728,0.8008537889,11.54884052,2.541078806,1.043780684,0.04899508134,2.865794182,0.8521644473,26.87258339,0.05782150477,0.08604708314,0.2519009113,0.386988759,0.05597680807,5.498432636,26.87258339,1.02248764,171.6233368,2,2,0,0,0,1
ASC068,Brown stock,asc_manual,89.24229431,21.32481384,0.2517152727,1.948392749,1.384061098,0.14024584,0.09378182143,2.978655577,1.6365273,7.670627117,0,17.16499519,16.78444672,0.717893362,44.59760284,36.67772293,0.2970040739,0.003670215607,0.02550789528,0.0001244663872,0.01502340194,0.00246875477,0.00978244096,0,0.003654271364,0.04131049663,0,0.3685131073,0,1.301874757,0.01990330778,0.01515763998,0.7108342648,0.008460627869,0.00319137983,0.04599856213,1.301874757,0.3076685667,101.7427902,1,0,1,1,0,1
ASC069,Vegetable stock,asc_manual,72.83649445,17.60440254,0.9595896006,0.2996930778,1.377679467,0.4429078698,0.3815610409,853.5580444,343.8364563,67.21044922,3.46091342,5.082204819,5.433592319,2.637599945,49.74882507,30.04964828,0.1172082871,0.01346452441,0.09742733091,0.0003201540676,0.04091592878,0.005295781419,0.05283745378,15.56598663,0.04408437014,0.3968345821,0,2.031112671,0,3.351769447,0.01047240756,0.003748570802,0.06190949306,0.04152374342,0.013543359,0.2303273827,3.351769447,1.824336529,330.9511414,1,0,1,1,0,1
ASC094,Cold cucumber soup (Thanda kheere ka soup),asc_manual,201.4317169,48.02956772,4.580854416,2.98764348,1.990923285,3.344915867,0.8775031567,1232.656738,523.237915,98.36711884,7.060829639,99.79180908,98.43505096,15.82902622,121.3151627,171.0171051,0.3184508979,0.02593615837,1.070687413,0.002602994908,0.06365191191,0.01705257036,0.4207750857,20.11670303,0.05460445955,0.4658301175,0,4.586853504,0,14.61399651,0.0313660726,0.1057160795,0.2003586292,0.3396608233,0.06289120764,2.080073595,14.61399651,2.689900875,265.6842346,1,0,0,0,0,1
ASC098,Potato parantha/paratha (Aloo ka parantha/paratha),asc_manual,851.6143188,205.0423889,23.92007446,3.697914362,10.22027779,1.152383566,4.175279617,1241.03186,2032.346558,6381.789063,0,17.38222885,107.5610352,46.11192322,127.203125,272.8771667,1.523881555,0.1819783002,15.42093563,0.002847834723,0.9364932775,0.01428112388,0.9480348825,0,4.847045898,4.017659664,0,4.416149616,0,16.02347374,0.1434528232,0.05052411556,1.04528439,0.3925081193,0.117328003,0.8728904724,16.02347374,8.542765617,295.4550781,2,2,2,2,1,1
ASC099,Radish parantha/paratha (Mooli ka parantha/paratha),asc_manual,762.0002441,183.524231,20.54241562,3.297506809,9.52780056,1.30684495,4.324216366,1161.331055,1896.258911,5939.949219,0,23.74950409,98.84757996,41.97703552,127.0269699,206.4386292,1.390329599,0.1558542401,14.22656441,0.003124562791,0.8700803518,0.01566196792,0.8835185766,0,4.511343479,3.715906382,0,4.38974762,0,20.73449516,0.1245616302,0.05115565285,0.7983394861,0.3150308132,0.1061761454,1.281242013,20.73449516,8.436613083,223.8462067,2,2,2,2,1,1
ASC100,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),asc_manual,739.2868042,178.0704041,18.83708191,3.726067066,9.465125084,1.14768517,4.680958748,1168.136475,1868.376587,5892.405762,0,21.99806404,103.4342422,44.53414154,190.0313263,222.9447021,1.593226194,0.1618518233,14.09159279,0.004589973483,0.9599542022,0.01374390535,0.9036130309,0,4.438656807,4.131536961,0,8.599985123,0,25.83957291,0.1295189559,0.06725122035,0.7941153049,0.4670885801,0.1271716952,1.272416949,25.83957291,17.28424644,238.2506256,2,2,2,2,1,1
ASC102,Sprouted moong parantha/paratha,asc_manual,948.7098389,228.5943909,24.30602646,4.292011261,12.42643166,1.474080205,4.488044262,1508.608887,2482.221436,7749.816406,0,20.32677841,120.6622238,49.58880615,153.9376984,150.0724487,1.943691611,0.1915350556,18.51123428,0.002771307016,1.104360938,0.01651527733,1.095810771,0,5.879477978,4.824661255,0,4.638703823,0,16.32932663,0.1654991508,0.06454560906,0.9499487281,0.3769724667,0.1171819717,0.593193531,16.32932663,2.610904932,293.3374329,2,2,2,2,1,1
ASC113,Boiled rice (Uble chawal),asc_manual,490.3333435,117.1896667,25.72000122,2.603333235,0.1833333373,0.2233333439,1.24666667,50,28.88666725,72,0,2.703333139,46.66666794,8.906666756,1.053333402,47.33333206,0.2400000095,0.09000000358,0.3966666758,0.001666666591,0.2633333504,0.01833333261,0.3600000143,0,0.03000000119,0,0,0.5,0,3.25,0.0566666685,0.01999999955,0.8366666436,0.1833333373,0.07333333045,0.1033333316,3.25,0,15.63333416,1,0,1,1,1,1
ASC114,Plain pulao,asc_manual,583.7749634,140.2079163,21.8161087,2.338649035,4.622068882,1.145469308,1.685498595,585.2744141,946.9772949,2865.537598,0,12.75673962,42.92806244,12.30464363,193.7613678,74.73854828,0.4072263539,0.0944397524,0.4013478458,0.002215004992,0.4680415988,0.02728158422,0.3651023209,0,2.195030928,0.2821045816,0,2.005911112,0,7.349074364,0.05253004283,0.01866839826,0.7215654254,0.1941701919,0.07492692769,0.5179765821,7.349074364,1.112374187,35.37187576,0,1,1,1,1,1
